avg color red,avg color green,avg color blue,entropy of red,entropy of green,entropy of blue,avg entropy,width,height,aspect ratio,area,size,compression ratio,bit depth,total pixels,hue,saturation,value,hue median,saturation median,value median,output
159.2570656,168.1090476,162.3880695,6.577138078,6.894452847,7.162007461,6.877866129,300,259,1.158301158,77700,14699,0.189176319,24,77700,0.297998884,0.36709623,0.748668585,0.166666667,0.223809524,0.807843137,1
142.853675,133.648375,160.11775,6.853180205,6.768146693,6.692778287,6.771368395,200,200,1,40000,10524,0.2631,24,40000,0.377983263,0.291305175,0.647677255,0.116666667,0.1875,0.725490196,1
178.5833212,186.1919767,187.5088299,7.269782274,7.330844239,7.481435978,7.360687497,430,320,1.34375,137600,29109,0.211547965,24,137600,0.202519129,0.148806265,0.764415498,0.109848485,0.064285714,0.866666667,1
174.6651661,181.7295116,185.465911,6.53620053,6.665397139,6.773404152,6.65833394,639,608,1.050986842,388512,104820,0.269798616,24,388512,0.177988668,0.105977575,0.735520058,0.111111111,0.02745098,0.905882353,1
140.403944,152.2424,160.057352,6.53990914,6.838826294,7.054068256,6.810934564,500,500,1,250000,71859,0.287436,24,250000,0.392444619,0.348092528,0.689058416,0.366666667,0.210084034,0.956862745,1
175.1395377,148.5135221,151.8585195,7.049017825,6.941984924,6.679439443,6.890147397,385,500,0.77,192500,25132,0.130555844,24,192500,0.646323419,0.331135482,0.700684635,0.657894737,0.146245059,0.937254902,1
167.6482033,180.7953666,197.4871602,6.018492296,6.302394408,6.31656397,6.212483558,607,960,0.632291667,582720,74401,0.127678817,24,582720,0.1740866,0.240070649,0.792156405,0.062091503,0.064356436,0.929411765,1
153.8363884,151.2455239,146.2656605,7.567228892,7.518672744,6.450657742,7.178853126,960,909,1.056105611,872640,148663,0.170360057,24,872640,0.430839903,0.37185155,0.686215541,0.565359477,0.260869565,0.796078431,1
179.1185482,182.3705799,185.4153265,6.321411205,6.866800115,6.905179711,6.697797011,670,454,1.475770925,304180,83699,0.275162733,24,304180,0.320280036,0.200267684,0.769404945,0.133333333,0.133333333,0.960784314,1
192.2885384,196.1810787,208.0514814,4.964717762,5.414165853,5.551447382,5.310110332,317,510,0.621568627,161670,38332,0.237100266,24,161670,0.253762247,0.168145601,0.828918191,0.079166667,0.031372549,0.996078431,1
